Date,Sentiment,average_sentiment_score,Open,High,Low,Close,Volume
01-01-2017,negative,0.479842979,13715.65,13715.65,13400.01,13556.15,123.616013
02-01-2017,negative,0.445320857,13533.75,13550.87,13402,13521.12,98.13643
03-01-2017,negative,0.470778117,13500,13545.37,13450,13470.41,79.904037
04-01-2017,negative,0.460065543,13494.65,13690.87,13450,13529.01,141.699719
05-01-2017,positive,0.553935065,13528.99,13571.74,13402.28,13445.63,72.537533
06-01-2017,positive,0.63124112,13469.99,13595.89,13445.63,13560,87.861758
07-01-2017,negative,0.247542047,13559.99,13559.99,13430,13440.01,74.368405
08-01-2017,negative,0.288186266,13440.01,13440.01,13155.38,13203.06,148.92931
09-01-2017,negative,0.263930055,13203,13411.76,13202.03,13387,108.54247
10-01-2017,negative,0.393372786,13387,13388,13225,13225,95.186039
11-01-2017,negative,0.491145874,13247.8,13349.99,13200,13321.08,111.719503
12-01-2017,positive,0.618022965,13338.97,13418.43,13260.09,13330.18,113.61656
13-01-2017,positive,0.551743727,13330.26,13450.76,13290,13444.99,89.019514
14-01-2017,positive,0.800029787,13440,13611.27,13440,13562.37,112.273306
15-01-2017,negative,0.425734971,13562.37,13611.01,13400,13500,105.619306
16-01-2017,negative,0.455167821,13510,13510,13400.04,13410.03,113.174904
17-01-2017,positive,0.65303953,13434.98,13483.07,13322.15,13351.71,94.759633
18-01-2017,positive,0.681313293,13354.99,13449.89,13323.55,13430,70.563137
19-01-2017,negative,0.455134025,13429.99,13550,13401.94,13507.41,68.943608
20-01-2017,positive,0.502835762,13507.41,13623.29,13465.41,13601.01,106.540951
21-01-2017,positive,0.567603096,13615.2,13677.83,13552.02,13627.14,185.935937
22-01-2017,positive,0.511845249,13600,13699,13532.57,13618.51,103.502867
23-01-2017,negative,0.423737217,13618.51,13629,13530,13580.01,70.523393
24-01-2017,negative,0.397512398,13558.95,13600,13526.5,13558.99,44.266849
25-01-2017,negative,0.470802459,13539,13571.63,13510,13532.32,58.377845
26-01-2017,negative,0.414294782,13532,13701.13,13510.51,13687.76,99.588918
27-01-2017,negative,0.396762182,13687.76,13750,13620.01,13722.47,52.257108
28-01-2017,negative,0.337644785,13722.48,13800,13702.1,13780.41,54.765813
29-01-2017,positive,0.603337284,13780,13818.55,13670,13775,84.038319
30-01-2017,positive,0.539683883,13774.99,13775.99,13600,13698,74.45332
31-01-2017,positive,0.543425917,13698,13775,13590,13644.95,89.776654
01-02-2017,positive,0.612846656,13644.97,13659.97,13555.02,13570.35,43.920484
02-02-2017,positive,0.62919896,13569.98,13665,13520,13656.23,58.542067
03-02-2017,negative,0.4766886,13656.23,13735.24,13610.27,13632.89,58.900513
04-02-2017,negative,0.361778946,13614.33,13649.96,13400,13434.71,104.766871
05-02-2017,negative,0.415491397,13415,13508.69,13414.76,13499.99,49.604102
06-02-2017,negative,0.489203368,13499.97,13599.98,13459.11,13589.83,55.827255
07-02-2017,positive,0.586898719,13556.88,13650,13531.19,13549.77,55.580387
08-02-2017,negative,0.412793135,13531.82,13610,13510.01,13599.99,50.137197
09-02-2017,positive,0.596230542,13599.99,13670,13571.33,13616.99,51.55099
10-02-2017,negative,0.272174591,13632,13657.92,13540.33,13550,50.432284
11-02-2017,positive,0.544336277,13550,13560.98,13497.98,13549.03,47.520692
12-02-2017,negative,0.418311817,13548.35,13603.77,13515.12,13586.51,43.999806
13-02-2017,negative,0.480057479,13585.91,13590.88,13515.14,13570.01,27.559414
14-02-2017,negative,0.434128242,13573,13589.89,13150,13251.76,214.320181
15-02-2017,positive,0.522459792,13251.76,13270.58,13023.8,13079.98,188.433737
16-02-2017,positive,0.758822451,13050.02,13225.32,13001.13,13132,164.858494
17-02-2017,positive,0.548540371,13132.83,13222.86,13100,13220.56,97.721941
18-02-2017,negative,0.43098611,13220.56,13300,13191.01,13247.41,71.520918
19-02-2017,positive,0.562631389,13247.38,13247.38,13056.23,13146.15,67.242759
20-02-2017,negative,0.446760542,13146.81,13245.55,13146.28,13200.01,66.739212
21-02-2017,negative,0.453135497,13200.01,13225,13117.72,13172.42,54.989819
22-02-2017,negative,0.40561162,13150.05,13200.41,12815.7,13041.03,197.110695
23-02-2017,negative,0.466098796,13041.03,13056.88,12932.61,12977.16,90.293549
24-02-2017,negative,0.433534832,12977.16,13104.79,12921.72,13079.97,79.3031
25-02-2017,negative,0.387286925,13072.61,13083.03,12930.38,13017,85.193782
26-02-2017,negative,0,12999.71,13035.32,12750,12870.12,210.409411
27-02-2017,positive,0.650550628,12870.12,13245,12750,12927,183.836708
28-02-2017,negative,0.30675992,12927.01,13026.9,12833.04,13000.01,131.318623
01-03-2017,negative,0.363929193,13000,13245,12999.53,13211.39,166.90262
02-03-2017,positive,0.584081489,13211.39,13231.94,13120.38,13165.78,107.596954
03-03-2017,negative,0.29887315,13179.24,13330,13128,13312.79,115.077231
04-03-2017,positive,0.5,13312.79,13320,13220,13245,140.092013
05-03-2017,positive,0.520945037,13228.31,13302.3,13222.01,13247,64.305759
06-03-2017,positive,0.680484847,13247,13247.08,13150,13188,93.75951
07-03-2017,negative,0.407308789,13190,13199.99,13020.01,13066.06,95.325962
08-03-2017,positive,0.543827448,13066.1,13149.07,12966.42,13149.07,86.081466
09-03-2017,negative,0.414101598,13149.07,13200,13000,13018,92.226628
10-03-2017,negative,0.462186299,13018,13143.09,13000,13099,67.79713
11-03-2017,positive,0.661177174,13100,13198.98,13042.71,13140,58.089387
12-03-2017,positive,0.993128955,13149,13165.99,13001,13080.1,46.581163
13-03-2017,negative,0.235995563,13078.4,13137.96,13000,13022,56.104348
14-03-2017,positive,0.730258122,13007.87,13100,12940,13029.72,49.342048
15-03-2017,positive,0.546516029,13045.14,13256.28,13011.51,13180.09,95.697865
16-03-2017,positive,0.682388816,13180.18,13211.17,13138.66,13194.99,46.416964
17-03-2017,negative,0.346205707,13180.05,13195.51,13100.95,13135,52.909878
18-03-2017,positive,0.687273057,13135,13189.26,13106.61,13149.69,56.822148
19-03-2017,negative,0.402562662,13150,13238,13123.54,13200,57.747865
20-03-2017,negative,0.472376096,13210,13280,13155.09,13260.31,71.309493
21-03-2017,negative,0.492320277,13260.31,13290.65,13181.21,13240.37,66.125379
22-03-2017,positive,0.555453363,13222.03,13440.38,13222.03,13421.03,133.602363
23-03-2017,negative,0.481862457,13437.11,13455,13355,13380,98.482083
24-03-2017,negative,0.439032638,13382.37,13472,13374.48,13466,105.85318
25-03-2017,negative,0.327725058,13469.37,13470.04,13360,13399.24,74.089242
26-03-2017,positive,0.634034618,13399.23,13551.99,13380.82,13518.46,117.586764
27-03-2017,positive,0.70785904,13514,13536,13463,13516.78,64.669614
28-03-2017,negative,0.476694432,13511.03,13580.67,13475,13498.03,81.320123
29-03-2017,positive,0.594697185,13498.03,13545,13480,13481.01,63.346634
30-03-2017,positive,0.545469551,13494.99,13593,13456,13580,94.150966
31-03-2017,negative,0.427923163,13580.02,13599.7,13515.96,13537.09,67.23308
01-04-2017,negative,0.443767532,13538.4,13560,13456.49,13539.9,58.675198
