headline,article
23:55,"  More than 100 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
Brexit backlash and 'wonder drug',"Several of the papers lead on what theDaily Mail describes as ""the best heart drug since statins"",external. Scientists are said to have found that a new drug, given by injection every three months, can cut the risk of heart attacks by a quarter. It is called Canakinumab and works by reducing inflammation. The Sun calls it a ""wonder drug"",externalthat ""slashes the risk"" of cancer too. The i newspaper hails the dawn,externalof ""a new era in heart disease treatment"" but says the price will have to come down before it can be approved. The Times says the drug currently costs,externalÂ£40,000 per patient per year as an arthritis treatment - so that could delay widespread use of the medicine alongside statins as a heart treatment. According to the Guardian,external, Jeremy Corbyn is facing a backlash from senior MPs in Labour's heartlands because of the party's ""shift to soft Brexit"". Three of them, from the Midlands and northern England, have told the paper that the move risks alienating thousands of voters in traditional seats who support greater controls on immigration. TheFinancial Times,externalsays Labour's announcement is putting Theresa May under renewed pressure from her own party over Brexit. Pro-European Conservatives, the paper says, will be emboldened to urge the prime minister to accept a softer deal. One unnamed senior pro-remain Tory is quoted as saying: ""The leverage among soft-Brexit Tories has increased significantly"". Get news from the BBC in your inbox, each weekday morning,external The Times leads on the case of a white, Christian five-year-old girl,externalwho, it says, has been taken from her family and forced to live with a foster carer who wears a niqab. In an internal report seen by the Times, a supervisor at Tower Hamlets council in London describes the child sobbing and begging not to be sent back to the foster carer's home because ""they don't speak English"". The council put out a statement saying:  ""All our foster carers receive training and support from the council to ensure they are fully qualified to meet the needs of the children in their care."" ""Charles must be our king"" is the bold messagespelt out in a purple box on the front of the Sun,external, pointing to an article inside by the paper's famed royal photographer, Arthur Edwards. He has decided to speak out after a recent poll suggested 51% want Prince William to be the next monarch. Edwards disagrees: ""The monarchy doesn't work like that. It's not an X Factor vote. Charles will be our next king, it's his birthright."" The photographer says his job has given him a unique insight into Charles's mindset - he's educated, passionate and very bright, has been heir for 65 years - and will be a good king. Finally, back to Brexit and theDaily Express reports a surge in vacuum cleaner sales,externalas shoppers rush to beat an EU ban on the most powerful models. ""Buy now while stocks last"", the paper says. ""It is a British person's inalienable right to have a vacuum cleaner of such ferocity that it sucks up your underlay and your floorboards."" Daily Express Daily Mail Daily Mirror Daily Star Daily Telegraph Financial Times Guardian Independent Metro Morning Star Sun Times The i Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Murder arrest after toddler's body found,"The house in Beaford Road, Wythenshawe has been cordoned off while police investigate A 31-year-old man has been arrested on suspicion of murder after the body of a toddler was found by police. The youngster was found dead at a house in Beaford Road, Wythenshawe, Manchester, at about 00:05 BST. A man and a woman, who suffered serious injuries, had left for hospital before officers arrived following a report of a domestic disturbance. A post-mortem examination into the boy's death is due to take place. The arrested man is in police custody. Police are waiting to speak to the woman who is in a serious condition in hospital. It has emerged officers had been to the address on Friday after a similar incident was reported. Supt John-Paul Ruffle said it was an ""absolutely tragic case"" Supt John-Paul Ruffle, of Greater Manchester Police (GMP), said the investigation into that domestic disturbance was continuing. Police have cordoned off the property while investigations take place and more officers are expected to be in the area over the coming days. Neighbours said they were woken by the sounds of sirens from police cars and ambulances. Paul Dean said: ""It's a very quiet road, this is the first time in the 10 years I've been here that something like this has happened. ""To find out it's a child involved, a very young child, it's horrible, a horrible feeling."" Another said: ""I have seen a little boy play outside from time to time, but I have never spoken to anyone who lives there."" Another added they thought a man, woman and child had lived at the address for about three months. Supt Ruffle said: ""This is an absolutely tragic case and I know the community will be horrified and saddened to hear the tragic news this morning. ""I want to offer my reassurances that we have launched a full murder investigation and have a team of detectives working on this case to establish exactly what has led to this young boy's death."" Greater Manchester Police will be referring itself to the Independent Police Complaints Commission as it had previously been called to the property. Greater Manchester Police Innovation Marketplace to bring business expertise to Bolton HYDROGEN SAFE SHORTLISTED FOR COMMUNITY ENGAGEMENT AWARD Debenhams shoppers praise Â£79 'eye-catching' jeans reduced to Â£23 in January sale Why Manchester Arndale has been evacuated this morning Firm fined after 3 employees suffer serious injuries at workplace where man lost arm Police to attend unauthorised traveller encampment in hotel car park Surprise fall in inflation boosts interest rate cut hopes Why a small drop in inflation matters to you South Korea impeached president arrested after investigators scale walls Red Sea dive-boat survivors accuse authorities of cover up Chris Mason: Political heat map flashes red over Treasury They hired Banksy for Â£50 then painted over his mural 'We sing to them': LA stables turn Noah's Ark for fire rescue animals Fatbergs turned into perfume - inside Britain's bizarre new industrial revolution Gaza 'humanitarian zone' struck almost 100 times since May, BBC Verify finds LA fire victims fear new housing crisis Trapped in the dark for 35 hours - Red Sea dive-boat survivors tell of terrifying escapes 'Your husband's being tortured, and it's your fault' The classic reality show starring Paris Hilton Can jet setters Paris Hilton and Nicole Richie give up their A-list lifestyles? Explore the brilliant mind of Socrates Naomi Alderman investigates notable thinkers with stories which celebrate the human mind The legendary manager's stunning career Friends and foes on the incredible career of Sir Alex Ferguson, Britain's most decorated football manager How is John planning for his retirement? Majestic Mad Dads, some clownery, blue biros and special flake dust also feature in this episode Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
23:45,"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
23:25,"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
23:10,"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
21:55,"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
21:40,"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
21:25,"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
21:15,"  Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news"
