date,Sentiment,average_sentiment_score
01-01-2017,negative,0.479842979
02-01-2017,negative,0.445320857
03-01-2017,negative,0.470778117
04-01-2017,negative,0.460065543
05-01-2017,positive,0.553935065
06-01-2017,positive,0.63124112
07-01-2017,negative,0.247542047
08-01-2017,negative,0.288186266
09-01-2017,negative,0.263930055
10-01-2017,negative,0.393372786
11-01-2017,negative,0.491145874
12-01-2017,positive,0.618022965
13-01-2017,positive,0.551743727
14-01-2017,positive,0.800029787
15-01-2017,negative,0.425734971
16-01-2017,negative,0.455167821
17-01-2017,positive,0.65303953
18-01-2017,positive,0.681313293
19-01-2017,negative,0.455134025
20-01-2017,positive,0.502835762
21-01-2017,positive,0.567603096
22-01-2017,positive,0.511845249
23-01-2017,negative,0.423737217
24-01-2017,negative,0.397512398
25-01-2017,negative,0.470802459
26-01-2017,negative,0.414294782
27-01-2017,negative,0.396762182
28-01-2017,negative,0.337644785
29-01-2017,positive,0.603337284
30-01-2017,positive,0.539683883
31-01-2017,positive,0.543425917
01-02-2017,positive,0.612846656
02-02-2017,positive,0.62919896
03-02-2017,negative,0.4766886
04-02-2017,negative,0.361778946
05-02-2017,negative,0.415491397
06-02-2017,negative,0.489203368
07-02-2017,positive,0.586898719
08-02-2017,negative,0.412793135
09-02-2017,positive,0.596230542
10-02-2017,negative,0.272174591
11-02-2017,positive,0.544336277
12-02-2017,negative,0.418311817
13-02-2017,negative,0.480057479
14-02-2017,negative,0.434128242
15-02-2017,positive,0.522459792
16-02-2017,positive,0.758822451
17-02-2017,positive,0.548540371
18-02-2017,negative,0.43098611
19-02-2017,positive,0.562631389
20-02-2017,negative,0.446760542
21-02-2017,negative,0.453135497
22-02-2017,negative,0.40561162
23-02-2017,negative,0.466098796
24-02-2017,negative,0.433534832
25-02-2017,negative,0.387286925
26-02-2017,negative,0
27-02-2017,positive,0.650550628
28-02-2017,negative,0.30675992
01-03-2017,negative,0.363929193
02-03-2017,positive,0.584081489
03-03-2017,negative,0.29887315
04-03-2017,positive,0.5
05-03-2017,positive,0.520945037
06-03-2017,positive,0.680484847
07-03-2017,negative,0.407308789
08-03-2017,positive,0.543827448
09-03-2017,negative,0.414101598
10-03-2017,negative,0.462186299
11-03-2017,positive,0.661177174
12-03-2017,positive,0.993128955
13-03-2017,negative,0.235995563
14-03-2017,positive,0.730258122
15-03-2017,positive,0.546516029
16-03-2017,positive,0.682388816
17-03-2017,negative,0.346205707
18-03-2017,positive,0.687273057
19-03-2017,negative,0.402562662
20-03-2017,negative,0.472376096
21-03-2017,negative,0.492320277
22-03-2017,positive,0.555453363
23-03-2017,negative,0.481862457
24-03-2017,negative,0.439032638
25-03-2017,negative,0.327725058
26-03-2017,positive,0.634034618
27-03-2017,positive,0.70785904
28-03-2017,negative,0.476694432
29-03-2017,positive,0.594697185
30-03-2017,positive,0.545469551
31-03-2017,negative,0.427923163
01-04-2017,negative,0.443767532
02-04-2017,negative,0.435634079
03-04-2017,negative,0.415013261
04-04-2017,positive,0.607006371
05-04-2017,negative,0.378181342
06-04-2017,positive,0.533313316
07-04-2017,negative,0.372519142
08-04-2017,positive,0.677049071
09-04-2017,negative,0.439592997
10-04-2017,negative,0.463123762
11-04-2017,positive,0.518290356
12-04-2017,negative,0.497264949
13-04-2017,negative,0.414064351
14-04-2017,negative,0.428094078
15-04-2017,positive,0.751901136
16-04-2017,negative,0.332718279
17-04-2017,positive,0.571625516
18-04-2017,negative,0.438438116
19-04-2017,positive,0.627408355
20-04-2017,positive,0.620172266
21-04-2017,negative,0.437793511
22-04-2017,negative,0.304545756
23-04-2017,negative,0.342470088
24-04-2017,negative,0.292243326
25-04-2017,negative,0.400237977
26-04-2017,negative,0.496980422
27-04-2017,negative,0.399130605
28-04-2017,positive,0.822783757
29-04-2017,positive,0.628999728
30-04-2017,positive,0.55492273
01-05-2017,negative,0.499887497
02-05-2017,negative,0.432198141
03-05-2017,positive,0.593097823
04-05-2017,positive,0.520132349
05-05-2017,negative,0.375336967
06-05-2017,negative,0.362563849
07-05-2017,negative,0.429357359
08-05-2017,negative,0.372699006
09-05-2017,positive,0.557208608
10-05-2017,positive,0.570457379
11-05-2017,negative,0.464115104
12-05-2017,positive,0.577901223
13-05-2017,negative,0.269535631
14-05-2017,positive,0.51325845
15-05-2017,positive,0.714489662
16-05-2017,negative,0.344043622
17-05-2017,negative,0.431395117
18-05-2017,negative,0.402318404
19-05-2017,positive,0.510545447
20-05-2017,negative,0.267542428
21-05-2017,negative,0.332515445
22-05-2017,positive,0.642329115
23-05-2017,positive,0.564329368
24-05-2017,negative,0.43604707
25-05-2017,negative,0.377869811
26-05-2017,positive,0.505612302
27-05-2017,positive,0.797996227
28-05-2017,positive,0.635281334
29-05-2017,negative,0.446537779
30-05-2017,positive,0.994074762
31-05-2017,positive,0.646606048
01-06-2017,positive,0.584929692
02-06-2017,negative,0.309965926
03-06-2017,negative,0.427057068
04-06-2017,positive,0.529537902
05-06-2017,positive,0.563341148
06-06-2017,positive,0.569426103
07-06-2017,positive,0.545025419
08-06-2017,negative,0.478905123
09-06-2017,positive,0.5349658
10-06-2017,positive,0.550304962
11-06-2017,negative,0.415330138
12-06-2017,positive,0.633706919
13-06-2017,negative,0.464105144
14-06-2017,negative,0.437501607
15-06-2017,positive,0.554136427
16-06-2017,negative,0.319874881
17-06-2017,positive,0.614852574
18-06-2017,negative,0.498236719
19-06-2017,positive,0.596086774
20-06-2017,positive,0.578506758
21-06-2017,positive,0.630176705
22-06-2017,positive,0.513768459
23-06-2017,negative,0.358346587
24-06-2017,negative,0.381784988
25-06-2017,positive,0.633582768
26-06-2017,positive,0.653330504
27-06-2017,negative,0.3739805
28-06-2017,positive,0.575953624
29-06-2017,positive,0.600307179
30-06-2017,positive,0.671978098
01-07-2017,negative,0.4045967
02-07-2017,positive,0.674854585
03-07-2017,negative,0.486869165
04-07-2017,positive,0.726158657
05-07-2017,positive,0.634559821
06-07-2017,positive,0.541087719
07-07-2017,positive,0.658598028
08-07-2017,negative,0.409071239
09-07-2017,negative,0.424848194
10-07-2017,negative,0.499497172
11-07-2017,positive,0.704794052
