date,Sentiment,average_sentiment_score
01-01-2018,negative,0.423060656
02-01-2018,negative,0.426577747
03-01-2018,positive,0.540639222
04-01-2018,positive,0.55859077
05-01-2018,positive,0.577262878
06-01-2018,positive,0.540202081
07-01-2018,positive,0.538574636
08-01-2018,positive,0.542435586
09-01-2018,negative,0.475783587
10-01-2018,positive,0.557094276
11-01-2018,negative,0.447343171
12-01-2018,positive,0.580175817
13-01-2018,negative,0.494520783
14-01-2018,negative,0.403380781
15-01-2018,positive,0.53191334
16-01-2018,positive,0.515428305
17-01-2018,negative,0.487021029
18-01-2018,positive,0.51820308
19-01-2018,positive,0.520904005
20-01-2018,negative,0.404433966
21-01-2018,positive,0.515508413
22-01-2018,negative,0.423732013
23-01-2018,positive,0.53488034
24-01-2018,positive,0.529203176
25-01-2018,positive,0.561329842
26-01-2018,positive,0.585258424
27-01-2018,positive,0.555029809
28-01-2018,negative,0.459636778
29-01-2018,negative,0.473145038
30-01-2018,positive,0.500036359
31-01-2018,negative,0.470742643
01-02-2018,negative,0.441530049
02-02-2018,positive,0.571403325
03-02-2018,negative,0.370640963
04-02-2018,positive,0.5142802
05-02-2018,negative,0.460113108
06-02-2018,negative,0.460575074
07-02-2018,negative,0.475801319
08-02-2018,positive,0.617675006
09-02-2018,positive,0.672466815
10-02-2018,positive,0.537857771
11-02-2018,positive,0.522508323
12-02-2018,positive,0.622243047
13-02-2018,negative,0.369554907
14-02-2018,positive,0.518522799
15-02-2018,positive,0.587446988
16-02-2018,positive,0.547983348
17-02-2018,positive,0.510886312
18-02-2018,positive,0.575667679
19-02-2018,negative,0.478343487
20-02-2018,positive,0.598331332
21-02-2018,positive,0.50319916
22-02-2018,negative,0.465977222
23-02-2018,positive,0.503977299
24-02-2018,negative,0.465884209
25-02-2018,negative,0.496898144
26-02-2018,positive,0.552638888
27-02-2018,positive,0.558257282
28-02-2018,positive,0.51613766
01-03-2018,negative,0.474702209
02-03-2018,positive,0.520273149
03-03-2018,positive,0.513448894
04-03-2018,positive,0.502753675
05-03-2018,negative,0.49635461
06-03-2018,negative,0.444144666
07-03-2018,negative,0.436400771
08-03-2018,positive,0.556472123
09-03-2018,positive,0.53293395
10-03-2018,negative,0.464179456
11-03-2018,positive,0.611215413
12-03-2018,positive,0.520222843
13-03-2018,negative,0.43012628
14-03-2018,positive,0.542554617
15-03-2018,negative,0.446924418
16-03-2018,positive,0.516452193
17-03-2018,negative,0.467669278
18-03-2018,negative,0.458711624
19-03-2018,negative,0.49880752
20-03-2018,positive,0.522011817
21-03-2018,positive,0.559167683
22-03-2018,negative,0.381958634
23-03-2018,negative,0.477388471
24-03-2018,negative,0.492958903
25-03-2018,positive,0.501553059
26-03-2018,negative,0.459490418
27-03-2018,negative,0.479486018
28-03-2018,negative,0.479096532
29-03-2018,positive,0.523454547
30-03-2018,positive,0.521052957
31-03-2018,positive,0.516842663
01-04-2018,positive,0.547059298
02-04-2018,negative,0.490125716
03-04-2018,negative,0.464550674
04-04-2018,positive,0.502488673
05-04-2018,negative,0.467737198
06-04-2018,negative,0.466351777
07-04-2018,negative,0.482311308
08-04-2018,negative,0.444064051
09-04-2018,positive,0.63195914
10-04-2018,positive,0.558844805
11-04-2018,negative,0.474873215
12-04-2018,negative,0.497789353
13-04-2018,positive,0.528254211
14-04-2018,negative,0.391098082
15-04-2018,negative,0.451382458
16-04-2018,positive,0.515622079
17-04-2018,negative,0.418169975
18-04-2018,positive,0.54470104
19-04-2018,negative,0.483793646
20-04-2018,negative,0.355550736
21-04-2018,positive,0.538663685
22-04-2018,negative,0.467143238
23-04-2018,negative,0.428815275
24-04-2018,negative,0.486960173
25-04-2018,positive,0.510307908
26-04-2018,negative,0.452996343
27-04-2018,negative,0.478522003
28-04-2018,negative,0.485126346
29-04-2018,positive,0.521398842
30-04-2018,negative,0.485842377
01-05-2018,positive,0.504820764
02-05-2018,positive,0.54292959
03-05-2018,negative,0.497555912
04-05-2018,positive,0.515005708
05-05-2018,positive,0.544344068
06-05-2018,positive,0.564564168
07-05-2018,negative,0.479149103
08-05-2018,positive,0.51343292
09-05-2018,positive,0.507606149
10-05-2018,positive,0.541261733
11-05-2018,positive,0.52362597
12-05-2018,positive,0.62439698
13-05-2018,positive,0.521862447
14-05-2018,negative,0.464818865
15-05-2018,negative,0.484720945
16-05-2018,negative,0.483280897
17-05-2018,negative,0.458625942
18-05-2018,positive,0.543854356
19-05-2018,positive,0.551930785
20-05-2018,positive,0.520044446
21-05-2018,positive,0.573541105
22-05-2018,positive,0.622169435
23-05-2018,positive,0.539847255
24-05-2018,negative,0.481479168
25-05-2018,positive,0.513034046
26-05-2018,negative,0.449940771
27-05-2018,negative,0.482333869
28-05-2018,positive,0.507248104
29-05-2018,negative,0.440272987
30-05-2018,positive,0.520258665
31-05-2018,positive,0.569633782
01-06-2018,negative,0.473616093
02-06-2018,negative,0.467341393
03-06-2018,negative,0.483419895
04-06-2018,negative,0
11-06-2018,positive,0.514122069
12-06-2018,negative,0.456544042
13-06-2018,negative,0.441756666
14-06-2018,negative,0.471984714
15-06-2018,positive,0.500511408
