date,Sentiment,average_sentiment_score
2017-08-01,positive,0.5248051285743713
2017-08-02,positive,0.6672043204307556
2017-08-03,negative,0.4743536412715912
2017-08-04,negative,0.47037869691848755
2017-08-05,negative,0.3705136775970459
2017-08-06,positive,0.5973995923995972
2017-08-07,negative,0.4749836027622223
2017-08-08,negative,0.47524380683898926
2017-08-09,positive,0.5165692567825317
2017-08-10,negative,0.49285075068473816
2017-08-11,negative,0.34418708086013794
2017-08-12,negative,0.4296082556247711
2017-08-13,positive,0.5474063158035278
2017-08-14,positive,0.5919247269630432
2017-08-15,negative,0.4137635827064514
2017-08-16,positive,0.5475451946258545
2017-08-17,negative,0.49527785181999207
2017-08-18,negative,0.4943166673183441
2017-08-19,positive,0.5954768061637878
2017-08-20,negative,0.45583903789520264
2017-08-21,negative,0.4987000823020935
2017-08-22,negative,0.47970807552337646
2017-08-23,positive,0.5191564559936523
2017-08-24,negative,0.3953650891780853
2017-08-25,positive,0.6106456518173218
2017-08-26,negative,0.4533799886703491
2017-08-27,negative,0.45092424750328064
2017-08-28,positive,0.6569206714630127
2017-08-29,positive,0.5020256042480469
2017-08-30,positive,0.5114325284957886
2017-08-31,positive,0.5372140407562256
2017-09-01,negative,0.45817363262176514
2017-09-02,positive,0.511837899684906
2017-09-03,positive,0.5056454539299011
2017-09-04,positive,0.5367749929428101
2017-09-05,negative,0.4283541738986969
2017-09-06,positive,0.5766745209693909
2017-09-07,positive,0.5073338747024536
2017-09-08,negative,0.39071881771087646
2017-09-09,negative,0.45128199458122253
2017-09-10,positive,0.5855401754379272
2017-09-11,negative,0.4578685164451599
2017-09-12,positive,0.5079513788223267
2017-09-13,negative,0.3984619677066803
2017-09-14,negative,0.2792985737323761
2017-09-15,negative,0.45813462138175964
2017-09-16,positive,0.5293847918510437
2017-09-17,negative,0.4601235091686249
2017-09-18,negative,0.49089860916137695
2017-09-19,negative,0.48496943712234497
2017-09-20,negative,0.47816136479377747
2017-09-21,positive,0.583317220211029
2017-09-22,negative,0.46767163276672363
2017-09-23,negative,0.4855673015117645
2017-09-24,positive,0.60585618019104
2017-09-25,negative,0.46810147166252136
2017-09-26,negative,0.43249964714050293
2017-09-27,positive,0.5684990882873535
2017-09-28,negative,0.4903576672077179
2017-09-29,positive,0.5471341609954834
2017-09-30,positive,0.5828986167907715
2017-10-01,negative,0.36038950085639954
2017-10-02,negative,0.41837021708488464
2017-10-03,positive,0.593046247959137
2017-10-04,positive,0.5149120092391968
2017-10-05,negative,0.49451744556427
2017-10-06,negative,0.4653989374637604
2017-10-07,negative,0.3345035910606384
2017-10-08,positive,0.6727953553199768
2017-10-09,positive,0.5099008083343506
2017-10-10,negative,0.4274583160877228
2017-10-11,negative,0.37497788667678833
2017-10-12,negative,0.4527568221092224
2017-10-13,positive,0.5539552569389343
2017-10-14,positive,0.5738793611526489
2017-10-15,positive,0.6250969171524048
2017-10-16,positive,0.5330256223678589
2017-10-17,negative,0.36776164174079895
2017-10-18,positive,0.5748475790023804
2017-10-19,positive,0.5272747874259949
2017-10-20,positive,0.5243099927902222
2017-10-21,positive,0.5230012536048889
2017-10-22,positive,0.5811174511909485
2017-10-23,negative,0.47168079018592834
2017-10-24,negative,0.3391491174697876
2017-10-25,negative,0.4286247193813324
2017-10-26,negative,0.4908948838710785
2017-10-27,positive,0.5414859652519226
2017-10-28,negative,0.4923129677772522
2017-10-29,positive,0.5527634620666504
2017-10-30,positive,0.5083451271057129
2017-10-31,positive,0.5703333616256714
2017-11-01,positive,0.5670037865638733
2017-11-02,negative,0.4606383442878723
2017-11-03,negative,0.4854165017604828
2017-11-04,positive,0.5226166248321533
